iter	MAE
187	27091.20983
188	27086.16935
189	27075.28547
190	27072.18214
191	27068.23342
192	27056.83006
193	27020.75956
194	27012.70144
195	27008.08686
196	26986.45901
197	26977.2563
198	26964.09351
199	26952.58508
200	26929.60467
201	26917.70699
202	26898.38927
203	26886.28186
204	26872.72181
205	26862.31764
206	26862.17809
207	26840.65869
208	26827.63286
209	26816.51521
210	26795.43687
211	26786.4245
212	26781.28174
213	26775.88518
214	26769.84451
215	26769.07281
216	26762.39118
217	26744.89612
218	26737.88978
219	26728.86264
220	26717.86557
221	26698.68527
222	26687.24098
223	26663.9383
224	26662.89768
225	26651.948
226	26636.28371
227	26629.76071
228	26623.84598
229	26615.85699
230	26611.04472
231	26601.91104
232	26593.37677
233	26575.60381
234	26574.21009
235	26555.46999
236	26550.67102
237	26533.08075
238	26519.0377
239	26514.01812
240	26503.86018
241	26494.18088
242	26485.72496
243	26473.14567
244	26467.76806
245	26458.82183
246	26447.74019
247	26438.80608
248	26432.51334
249	26416.35144
250	26402.58463
251	26392.14655
252	26376.49206
253	26358.74942
254	26352.69558
255	26343.43018
256	26324.67326
257	26310.86958
258	26303.06101
259	26265.77136
260	26255.20515
261	26243.77852
262	26220.11607
263	26207.69111
264	26177.90256
265	26155.38285
266	26129.25698
267	26103.13953
268	26096.74112
269	26089.28296
270	26074.59978
271	26066.62457
272	26043.0482
273	26025.63759
274	26017.11001
275	26001.08448
276	25991.63361
277	25978.26404
278	25968.62921
279	25954.57173
280	25933.17128
281	25915.8024
282	25892.84052
283	25882.97307
284	25855.59231
285	25844.13019
286	25835.32529
287	25822.36132
288	25815.00169
289	25790.77122
290	25777.89907
291	25771.01032
292	25760.213
293	25755.5696
294	25740.01544
295	25722.18948
296	25707.89714
297	25699.82246
298	25685.96966
299	25668.15868
300	25651.67255
301	25629.13165
302	25613.69524
303	25595.67292
304	25584.08464
305	25566.86397
306	25553.52866
307	25538.78753
308	25530.20577
309	25519.29708
310	25505.15876
311	25495.0136
312	25482.73115
313	25469.83247
314	25451.60907
315	25429.06855
316	25417.27354
317	25408.90511
318	25405.60707
319	25393.12456
320	25372.59133
321	25351.34844
322	25342.92832
323	25326.45526
324	25309.20008
325	25293.36331
326	25284.21039
327	25263.00709
328	25245.71448
329	25232.94834
330	25216.85539
331	25203.34358
332	25194.67558
333	25180.29911
334	25175.66884
335	25165.8268
336	25157.95705
337	25143.87757
338	25137.80509
339	25121.73581
340	25107.49151
341	25097.96614
342	25084.88071
343	25073.52268
344	25066.04568
345	25051.08976
346	25038.18467
347	25021.64891
348	25012.94131
349	24994.91916
350	24980.43953
351	24969.86322
352	24962.83068
353	24944.12546
354	24925.10857
355	24911.56018
356	24902.05913
357	24888.80247
358	24881.01088
359	24869.41711
360	24858.18988
361	24843.29847
362	24833.59464
363	24825.29226
364	24804.29936
365	24787.51289
366	24772.94752
367	24766.69056
368	24742.98563
369	24729.97031
370	24717.43401
371	24712.06024
372	24704.41447
373	24696.44384
374	24678.91127
375	24645.14621
376	24607.77594
377	24599.45044
378	24589.30112
379	24578.53878
380	24563.02246
381	24551.34329
382	24538.55463
383	24527.2441
384	24515.07803
385	24508.71263
386	24497.42153
387	24492.10489
388	24484.48157
389	24478.94441
390	24473.69927
391	24462.20315
392	24448.17875
393	24434.25105
394	24419.27187
395	24408.89378
396	24399.06031
397	24390.56042
398	24375.08813
399	24368.11343
400	24332.49282
401	24326.12236
402	24320.58935
403	24299.99606
404	24292.11697
405	24268.84425
406	24254.96992
407	24242.55638
408	24236.13264
409	24215.50799
410	24188.50425
411	24179.32781
412	24169.20233
413	24157.06061
414	24154.22683
415	24143.73168
416	24137.4214
417	24122.55257
418	24115.29156
419	24105.51733
420	24092.77891
421	24078.90634
422	24068.41196
423	24058.21645
424	24049.82834
425	24039.77681
426	24027.97463
427	24022.92533
428	24008.06416
429	23994.55471
430	23979.80779
431	23975.17291
432	23962.15928
433	23949.74991
434	23944.25855
435	23931.29151
436	23920.62791
437	23900.35759
438	23881.94991
439	23869.18833
440	23865.65646
441	23849.99614
442	23845.0929
443	23835.89593
444	23812.83919
445	23801.29851
446	23796.27716
447	23786.7153
448	23772.29731
449	23767.75728
450	23750.82632
451	23747.05301
452	23733.94044
453	23728.9731
454	23719.10666
455	23702.48349
456	23685.19169
457	23673.87393
458	23668.70569
459	23662.12895
460	23655.50427
461	23629.86626
462	23626.64611
463	23608.14157
464	23592.54756
465	23571.35751
466	23562.74156
467	23558.47682
468	23549.69551
469	23542.3003
470	23530.94262
471	23509.3136
472	23502.83155
473	23498.54337
474	23495.4216
475	23488.37996
476	23480.51676
477	23475.45813
478	23465.81343
479	23458.93794
480	23453.92586
481	23445.02816
482	23441.58088
483	23426.80944
484	23416.58271
485	23408.73514
486	23403.9272
487	23398.55451
488	23390.48086
489	23385.52757
490	23378.28246
491	23365.25089
492	23358.61481
493	23349.86637
494	23347.88874
495	23336.81389
496	23327.13055
497	23314.37354
498	23308.49264
499	23302.44617
500	23298.401
501	23295.25223
502	23288.09302
503	23278.93279
504	23273.57335
505	23262.35375
506	23250.26772
507	23243.35918
508	23240.8919
509	23231.9906
510	23225.42133
511	23215.35362
512	23210.87181
513	23208.43357
514	23204.60034
515	23194.12237
516	23180.49231
517	23169.74879
518	23149.10466
519	23124.09647
520	23101.71598
521	23096.95291
522	23071.84379
523	23060.59697
524	23055.64148
525	23047.45468
526	23039.70268
527	23032.68025
528	23026.51901
529	23023.72246
530	23018.21721
531	23007.32625
532	23000.613
533	22994.75139
534	22986.87771
535	22970.69057
536	22964.90954
537	22954.91707
538	22950.91083
539	22938.24382
540	22928.57846
541	22918.57476
542	22915.51638
543	22907.84378
544	22902.64511
545	22891.05551
546	22888.68956
547	22884.60012
548	22874.81603
549	22866.39481
550	22860.40298
551	22854.65145
552	22849.53299
553	22843.39962
554	22839.75136
555	22828.21755
556	22821.12595
557	22811.42918
558	22806.94498
559	22795.27126
560	22791.26065
561	22785.73145
562	22778.92466
563	22771.01664
564	22760.35709
565	22751.88108
566	22745.55393
567	22739.72051
568	22735.7143
569	22726.11123
570	22715.29805
571	22712.44391
572	22704.92397
573	22702.23665
574	22698.25316
575	22693.91498
576	22688.45876
577	22681.33907
578	22679.19783
579	22674.69925
580	22659.76713
581	22637.35768
582	22632.4086
583	22628.22789
584	22622.25937
585	22619.9133
586	22604.05832
587	22602.38004
588	22600.31466
589	22588.4422
590	22583.14205
591	22580.58882
592	22576.79216
593	22571.5118
594	22566.84382
595	22562.69252
596	22556.58211
597	22546.54856
598	22539.57937
599	22526.28983
600	22517.59054
601	22506.62098
602	22499.81085
603	22497.19549
604	22487.84767
605	22480.31449
606	22468.14336
607	22460.11291
608	22451.80209
609	22446.29994
610	22422.68339
611	22416.62452
612	22411.65326
613	22406.9525
614	22394.99549
615	22391.23389
616	22389.47154
617	22379.66614
618	22365.81056
619	22359.6562
620	22356.00256
621	22353.46976
622	22348.79185
623	22343.29597
624	22332.52944
625	22330.33272
626	22325.30452
627	22322.14424
628	22317.94934
629	22316.18022
630	22312.9854
631	22310.18807
632	22307.82842
633	22306.96244
634	22302.8099
635	22298.15091
636	22291.29974
637	22287.58118
638	22284.21471
639	22279.48863
640	22274.28473
641	22271.78503
642	22258.24673
643	22248.64606
644	22242.09264
645	22235.46536
646	22228.94697
647	22225.8076
648	22223.30412
649	22222.2499
650	22216.67297
651	22211.92148
652	22208.75912
653	22204.29882
654	22192.06061
655	22188.3298
656	22182.14308
657	22174.47755
658	22173.4009
659	22169.93953
660	22155.55647
661	22154.58218
662	22142.7479
663	22139.70235
664	22133.57292
665	22128.61193
666	22125.11417
667	22115.62874
668	22113.44219
669	22111.07644
670	22099.2949
671	22096.19985
672	22092.61446
673	22087.61283
674	22084.21067
675	22076.81691
676	22074.83382
677	22071.97861
678	22064.34823
679	22060.20075
680	22054.7264
681	22032.9324
682	22023.98854
683	22013.8455
684	22011.67499
685	22005.68514
686	21995.1402
687	21977.58582
688	21974.58623
689	21971.16431
690	21962.02438
691	21956.80198
692	21952.76454
693	21946.95582
694	21942.73739
695	21914.85455
696	21912.73452
697	21908.54233
698	21904.62048
699	21893.84829
700	21889.89667
701	21864.08368
702	21860.48427
703	21857.24964
704	21839.09364
705	21836.66502
706	21830.72286
707	21818.80787
708	21815.41015
709	21802.01156
710	21799.60383
711	21795.38657
712	21790.99708
713	21781.61494
714	21772.97689
715	21767.18632
716	21759.91429
717	21757.79725
718	21752.86582
719	21750.51099
720	21746.48322
721	21742.53029
722	21734.17282
723	21729.35592
724	21727.8304
725	21720.79146
726	21712.1193
727	21708.57534
728	21702.9693
729	21692.22687
730	21665.16469
731	21664.19719
732	21661.53292
733	21657.88868
734	21645.06315
735	21637.24803
736	21627.75542
737	21620.72224
738	21615.15268
739	21607.72662
740	21605.97454
741	21602.36804
742	21595.22118
743	21592.41015
744	21589.83839
745	21580.78891
746	21575.96183
747	21571.48795
748	21568.30009
749	21550.39704
750	21548.19638
751	21546.37437
752	21541.23967
753	21534.76925
754	21518.22687
755	21515.24236
756	21513.19607
757	21508.38026
758	21504.90213
759	21503.63687
760	21495.61043
761	21488.00591
762	21483.79567
763	21473.63733
764	21461.68808
765	21454.65119
766	21450.33179
767	21443.13459
768	21439.56718
769	21437.6361
770	21433.12599
771	21427.32784
772	21409.35722
773	21403.66228
774	21395.9012
775	21390.40327
776	21387.95294
777	21380.23955
778	21371.81386
779	21366.64966
780	21350.32943
781	21345.49795
782	21340.37842
783	21334.12463
784	21329.40066
785	21326.22015
786	21321.84497
787	21315.19426
788	21314.12344
789	21304.28524
790	21299.46794
791	21278.59482
792	21276.83564
793	21270.02097
794	21266.38742
795	21259.95311
796	21255.49695
797	21232.50178
798	21230.11664
799	21225.06216
800	21222.74514
801	21220.64039
802	21215.57141
803	21213.82864
804	21212.24539
805	21200.99169
806	21194.55103
807	21192.44986
808	21178.06914
809	21176.12036
810	21172.67962
811	21171.15675
812	21168.01134
813	21164.31647
814	21157.50524
815	21152.68695
816	21148.40475
817	21147.56003
818	21144.37005
819	21131.49974
820	21128.0523
821	21116.77299
822	21099.15849
823	21096.78857
824	21092.94038
825	21081.7528
826	21079.95313
827	21075.63632
828	21072.67735
829	21067.12718
830	21062.50701
831	21058.89427
832	21056.16642
833	21054.84121
834	21053.1669
835	21043.26501
836	21041.49881
837	21036.00909
838	21033.98731
839	21031.24763
840	21025.32457
841	21023.98497
842	21021.2756
843	21018.67171
844	21017.87704
845	21013.15049
846	21008.11691
847	21004.84869
848	20997.68691
849	20992.19969
850	20986.23645
851	20983.75827
852	20982.51786
853	20978.49793
854	20971.34882
855	20965.80929
856	20960.22661
857	20952.47568
858	20946.79714
859	20942.85601
860	20941.31866
861	20938.24935
862	20923.5367
863	20919.85327
864	20914.71616
865	20910.79112
866	20906.69086
867	20903.49563
868	20895.85355
869	20892.45561
870	20889.80608
871	20881.45082
872	20865.69066
873	20864.13189
874	20860.44935
875	20859.07964
876	20856.28683
877	20849.82679
878	20841.92951
879	20838.18806
880	20835.40739
881	20819.35103
882	20815.14661
883	20811.42294
884	20807.04431
885	20803.55449
886	20800.95958
887	20797.22146
888	20788.53429
889	20772.23528
890	20770.15388
891	20764.78618
892	20760.20759
893	20758.92265
894	20757.16866
895	20752.02055
896	20747.88151
897	20746.21314
898	20739.28343
899	20736.19856
900	20733.67942
901	20728.87109
902	20721.01804
903	20718.1884
904	20716.23963
905	20714.96516
906	20709.57017
907	20706.52229
908	20703.76758
909	20700.09226
910	20691.92163
911	20686.99478
912	20683.90657
913	20680.24737
914	20673.89781
915	20671.42949
916	20666.53942
917	20655.0193
918	20637.3683
919	20633.5749
920	20627.12433
921	20624.1298
922	20619.47847
923	20598.75802
924	20597.81843
925	20595.34523
926	20593.039
927	20581.03764
928	20579.75629
929	20575.70528
930	20573.48215
931	20564.79789
932	20561.16798
933	20553.20082
934	20541.40656
935	20538.92601
936	20536.27847
937	20531.11145
938	20527.38257
939	20526.21606
940	20518.24957
941	20506.31984
942	20500.81713
943	20489.66358
944	20486.33662
945	20480.94881
946	20470.8002
947	20466.24519
948	20463.94385
949	20455.70639
950	20450.24928
951	20448.99996
952	20445.78711
953	20443.418
954	20434.82302
955	20430.98749
956	20428.13648
957	20422.42645
958	20415.75735
959	20407.26239
960	20406.41851
961	20404.04236
962	20396.78976
963	20387.71618
964	20380.81778
965	20376.45734
966	20372.53328
967	20365.8048
968	20363.9279
969	20355.73571
970	20352.11786
971	20348.88113
972	20342.7949
973	20342.09871
974	20337.69911
975	20335.62878
976	20329.2013
977	20325.15792
978	20317.29986
979	20312.41212
980	20292.51146
981	20289.57188
982	20288.49683
983	20283.40991
984	20280.80208
985	20278.28882
986	20275.14113
987	20272.24723
988	20266.96184
989	20263.22537
990	20260.56551
991	20258.59234
992	20254.3622
993	20249.23158
994	20237.11454
995	20231.77995
996	20209.86072
997	20205.68124
998	20204.02568
999	20193.10476
